SN,TIMESTAMP,PACKAGE_SIZE,MAX_VALUE,MIN_VALUE,MAT_0,MAT_1,MAT_2,MAT_3,MAT_4,MAT_5,MAT_6,MAT_7,MAT_8,MAT_9,MAT_10,MAT_11,MAT_12,MAT_13,MAT_14,MAT_15,MAT_16,MAT_17,MAT_18,MAT_19,MAT_20,MAT_21,MAT_22,MAT_23,MAT_24,MAT_25,MAT_26,MAT_27,MAT_28,MAT_29,MAT_30,MAT_31,MAT_32,MAT_33,MAT_34,MAT_35,MAT_36,MAT_37,MAT_38,MAT_39,MAT_40,MAT_41,MAT_42,MAT_43,MAT_44,MAT_45,MAT_46,MAT_47,MAT_48,MAT_49,MAT_50,MAT_51,MAT_52,MAT_53,MAT_54,MAT_55,MAT_56,MAT_57,MAT_58,MAT_59,MAT_60,MAT_61,MAT_62,MAT_63,MAT_64,MAT_65,MAT_66,MAT_67,MAT_68,MAT_69,MAT_70,MAT_71,MAT_72,MAT_73,MAT_74,MAT_75,MAT_76,MAT_77,MAT_78,MAT_79,MAT_80,MAT_81,MAT_82,MAT_83,MAT_84,MAT_85,MAT_86,MAT_87,MAT_88,MAT_89,MAT_90,MAT_91,MAT_92,MAT_93,MAT_94,MAT_95,MAT_96,MAT_97,MAT_98,MAT_99,MAT_100,MAT_101,MAT_102,MAT_103,MAT_104,MAT_105,MAT_106,MAT_107,MAT_108,MAT_109,MAT_110,MAT_111,MAT_112,MAT_113,MAT_114,MAT_115,MAT_116,MAT_117,MAT_118,MAT_119,MAT_120,MAT_121,MAT_122,MAT_123,MAT_124,MAT_125,MAT_126,MAT_127,MAT_128,MAT_129,MAT_130,MAT_131,MAT_132,MAT_133,MAT_134,MAT_135,MAT_136,MAT_137,MAT_138,MAT_139,MAT_140,MAT_141,MAT_142,MAT_143,MAT_144,MAT_145,MAT_146,MAT_147,MAT_148,MAT_149,MAT_150,MAT_151,MAT_152,MAT_153,MAT_154,MAT_155,MAT_156,MAT_157,MAT_158,MAT_159,MAT_160,MAT_161,MAT_162,MAT_163,MAT_164,MAT_165,MAT_166,MAT_167,MAT_168,MAT_169,MAT_170,MAT_171,MAT_172,MAT_173,MAT_174,MAT_175,MAT_176,MAT_177,MAT_178,MAT_179,MAT_180,MAT_181,MAT_182,MAT_183,MAT_184,MAT_185,MAT_186,MAT_187,MAT_188,MAT_189,MAT_190,MAT_191,MAT_192,MAT_193,MAT_194,MAT_195,MAT_196,MAT_197,MAT_198,MAT_199,MAT_200,MAT_201,MAT_202,MAT_203,MAT_204,MAT_205,MAT_206,MAT_207
0,2024-06-15 13:22:17.431,208,103,0,0,0,1,8,11,100,88,65,2,0,0,0,0,0,0,3,48,50,57,67,69,2,0,0,0,0,0,0,24,46,43,50,50,60,12,0,0,0,0,0,1,32,43,42,61,51,57,2,0,0,0,0,1,5,34,41,31,56,13,7,0,0,0,0,0,3,18,31,29,5,6,2,1,0,0,0,0,0,12,60,25,22,2,2,1,1,0,0,0,0,0,23,40,41,35,2,1,1,1,1,0,0,0,0,46,42,41,24,2,1,1,1,1,0,0,0,0,79,50,52,41,4,1,1,2,2,2,0,0,0,77,66,57,53,21,4,6,16,26,21,4,1,0,44,103,32,33,34,12,26,28,34,45,43,11,0,10,11,16,42,44,32,51,35,40,60,69,5,1,1,2,2,4,3,2,2,2,1,2,2,1,0,0,0,0,0,1,0,1,2,1,2,6,3,1,2,3,3,6,10,5,12,33,11,18,66,42,10
1,2024-06-15 13:22:17.467,208,101,0,0,0,1,8,11,100,88,65,2,0,0,0,0,0,0,3,48,50,57,66,69,2,0,0,0,0,0,0,24,46,43,50,50,60,12,0,0,0,0,0,1,31,43,42,61,51,57,2,0,0,0,0,1,6,34,41,30,56,14,7,0,0,0,0,0,3,19,31,29,5,6,2,2,0,0,0,0,0,12,62,26,22,2,3,1,1,0,0,0,0,0,23,41,41,36,2,1,1,1,1,0,0,0,0,46,41,41,24,2,1,1,1,1,1,0,0,0,79,50,52,42,4,1,1,2,2,2,0,0,0,76,66,56,52,21,4,6,17,27,22,4,2,0,43,101,31,33,33,13,26,28,34,45,44,15,0,10,11,16,42,44,32,52,36,40,61,69,6,1,1,1,1,2,2,1,2,1,1,1,2,0,0,0,0,0,1,1,1,2,3,2,3,7,4,1,2,3,3,5,11,4,12,32,11,18,68,45,11
2,2024-06-15 13:22:17.514,208,100,0,0,0,1,8,11,99,88,65,2,0,0,0,0,0,0,3,48,50,57,66,69,2,0,0,0,0,0,0,24,46,43,50,50,60,12,0,0,0,0,0,1,31,43,42,61,51,57,2,0,0,0,0,1,6,33,41,30,57,14,7,0,0,0,0,0,3,18,31,30,6,7,2,2,0,0,0,0,0,12,61,25,21,2,3,1,1,0,0,0,0,0,22,41,41,35,2,1,1,1,1,0,0,0,0,46,42,41,24,2,1,1,1,1,1,0,0,0,79,50,52,42,4,1,1,2,2,2,0,0,0,76,65,56,52,21,4,6,17,27,22,4,2,0,42,100,31,33,33,14,26,29,34,45,44,18,0,10,11,16,42,44,32,52,36,40,61,70,7,1,1,1,1,2,2,1,2,1,1,1,2,0,0,0,0,0,0,1,0,1,2,1,2,6,4,2,2,3,3,5,11,4,11,32,11,18,69,47,14
3,2024-06-15 13:22:17.562,208,100,0,0,0,1,8,11,99,87,67,2,0,0,0,0,0,0,3,47,50,57,66,69,2,0,0,0,0,0,0,24,45,43,49,50,60,13,0,0,0,0,0,1,31,43,42,61,51,57,2,0,0,0,0,1,6,33,41,31,57,14,7,0,0,0,0,0,2,14,28,28,5,6,2,1,0,0,0,0,0,11,61,25,20,2,2,1,1,0,0,0,0,0,18,39,39,34,2,1,1,1,0,0,0,0,0,45,41,41,24,2,1,1,1,1,1,0,0,0,77,48,51,41,4,1,1,2,2,2,0,0,0,76,65,55,52,21,5,7,18,27,23,5,2,0,42,100,31,33,33,14,26,29,34,45,44,20,0,8,11,16,42,44,32,52,36,41,61,71,7,1,1,2,2,3,3,2,2,2,1,2,2,1,0,0,0,0,1,1,1,2,3,2,3,7,5,2,2,3,3,5,11,5,11,32,11,18,69,49,15
4,2024-06-15 13:22:17.611,208,99,0,0,0,1,8,11,98,88,68,2,0,0,0,0,0,0,3,47,50,57,66,69,2,0,0,0,0,0,0,24,45,42,49,50,60,14,0,0,0,0,0,1,31,43,42,61,51,57,2,0,0,0,0,0,5,34,41,30,56,15,7,0,0,0,0,0,1,10,26,27,5,5,2,1,0,0,0,0,0,9,55,25,18,2,2,1,1,0,0,0,0,0,16,38,39,32,2,1,1,1,0,0,0,0,0,44,41,41,24,2,1,1,1,1,1,0,0,0,77,47,51,40,4,1,1,2,2,2,0,0,0,75,63,54,51,21,5,7,18,28,23,5,3,0,41,99,30,32,32,15,26,29,34,46,44,22,0,8,11,15,42,43,32,51,36,40,61,71,8,1,1,2,2,4,3,2,2,2,1,2,3,1,0,0,0,0,1,1,1,2,3,2,3,8,5,2,2,3,3,6,10,4,12,33,11,18,70,49,16
5,2024-06-15 13:22:17.658,208,98,0,0,0,1,8,11,98,87,69,2,0,0,0,0,0,0,3,47,50,57,66,69,3,0,0,0,0,0,0,23,45,42,49,50,60,15,0,0,0,0,0,1,31,43,42,61,51,58,2,0,0,0,0,1,5,34,41,30,56,15,8,0,0,0,0,0,2,13,28,27,5,6,2,1,0,0,0,0,0,11,53,26,18,2,3,1,1,0,0,0,0,0,15,36,40,30,2,1,1,1,0,0,0,0,0,42,40,41,23,2,1,1,1,1,1,0,0,0,76,46,51,39,4,1,1,2,2,2,0,0,0,74,63,54,50,20,5,7,18,28,24,5,3,0,40,98,29,32,32,15,26,29,34,46,45,24,0,7,11,15,42,43,32,51,36,41,61,71,8,1,1,2,2,4,3,2,2,2,1,2,3,1,0,0,0,0,1,1,1,2,3,1,3,8,5,3,2,3,3,6,9,4,12,33,11,18,70,50,18
6,2024-06-15 13:22:17.707,208,98,0,0,0,1,8,11,98,87,69,2,0,0,0,0,0,0,3,47,50,57,66,69,3,0,0,0,0,0,0,23,45,42,49,50,60,16,0,0,0,0,0,1,31,43,42,61,51,58,2,0,0,0,0,1,4,33,40,30,56,15,8,1,0,0,0,0,2,11,27,25,5,6,2,1,0,0,0,0,0,10,49,26,18,2,3,1,1,0,0,0,0,0,13,34,39,28,2,1,1,1,1,0,0,0,0,41,39,40,23,2,1,1,1,1,1,0,0,0,76,46,51,38,4,1,1,2,3,2,0,0,0,73,62,53,50,21,5,7,19,29,24,5,3,0,39,98,28,32,31,16,26,29,34,46,45,25,0,7,12,15,41,42,32,51,36,41,61,72,9,1,1,3,2,4,3,2,2,2,1,2,3,1,0,0,0,0,1,1,1,2,3,2,4,9,6,3,2,3,3,6,8,5,12,32,11,19,71,51,18
7,2024-06-15 13:22:17.754,208,97,0,0,0,1,8,11,97,87,69,2,0,0,0,0,0,0,3,47,50,57,66,69,3,0,0,0,0,0,0,23,45,42,49,50,60,17,0,0,0,0,0,1,30,43,42,61,51,58,2,0,0,0,0,1,4,32,40,30,56,15,8,1,0,0,0,0,2,8,25,24,5,6,2,1,0,0,0,0,0,9,43,25,17,2,3,1,1,0,0,0,0,0,13,34,39,28,2,2,1,1,1,0,0,0,0,39,39,40,22,2,1,1,1,1,1,0,0,0,75,46,50,37,4,1,1,2,3,2,0,0,0,72,61,51,49,20,6,7,19,29,25,5,3,0,39,97,28,31,31,16,26,29,34,46,46,25,0,6,11,14,41,42,32,51,36,41,62,72,9,1,1,2,2,4,3,2,2,2,1,2,3,1,0,0,1,0,1,2,1,2,4,2,4,10,7,4,1,3,3,6,7,5,12,32,11,18,72,51,19
8,2024-06-15 13:22:17.802,208,97,0,0,0,1,8,11,97,87,70,2,0,0,0,0,0,0,3,47,50,57,66,70,3,0,0,0,0,0,0,23,45,42,49,50,59,17,0,0,0,0,0,1,29,43,42,61,51,58,2,0,0,0,0,1,5,31,39,29,56,15,8,1,0,0,0,0,1,11,27,23,5,6,2,1,0,0,0,0,0,8,41,24,17,2,3,1,1,0,0,0,0,0,12,33,39,27,2,2,1,1,1,0,0,0,0,38,39,40,22,2,1,1,1,1,1,0,0,0,73,46,50,37,4,1,1,2,3,2,0,0,0,71,60,51,48,19,6,7,19,29,25,5,3,0,38,96,28,31,30,16,26,29,34,47,46,26,0,6,12,14,41,42,31,50,36,41,62,72,9,1,1,2,2,4,3,2,2,2,1,2,3,1,0,0,1,0,1,1,1,2,4,2,4,10,7,4,1,3,2,5,7,5,12,32,11,19,72,51,18
9,2024-06-15 13:22:17.851,208,97,0,0,0,1,8,11,97,87,70,2,0,0,0,0,0,0,3,47,50,57,66,70,3,0,0,0,0,0,0,23,45,42,49,50,60,17,0,0,0,0,0,1,29,43,42,61,51,58,2,0,0,0,0,1,5,30,39,30,57,16,8,1,0,0,0,0,1,10,26,21,5,6,2,1,0,0,0,0,0,7,36,21,11,2,2,1,1,0,0,0,0,0,11,33,39,22,2,2,1,1,0,0,0,0,0,36,38,40,21,2,1,1,1,1,1,0,0,0,71,45,50,36,4,1,1,2,3,2,0,0,0,71,60,51,47,19,6,7,19,29,26,5,3,0,38,95,27,31,30,17,26,28,34,47,46,27,0,6,12,14,41,41,31,50,36,41,62,73,9,1,1,2,2,4,3,2,3,2,1,2,3,1,0,0,1,1,1,1,1,2,4,2,4,10,7,4,1,3,3,5,5,4,13,32,11,19,72,51,19
